Feature,Stability_Count,Mean_Rank_or_Score,Stability_Rank,Internal_Rank,Global_Score
Selective_regression-path_duration_std_medical_original,49.93333333333333,12.85906786582466,64.5,28.0,92.5
Maximum_duration_of_Visit_std_medical_simple,49.93333333333333,12.854472571417752,64.5,29.0,93.5
Average_duration_of_Visit_max_non_medical,50.0,9.509996394644624,31.0,63.0,94.0
Average_whole-fixation_eye_openness_mean_non_medical,50.0,9.40189922651919,31.0,65.0,96.0
Duration_of_first_Visit_max_content,49.93333333333333,12.289564525511569,64.5,33.0,97.5
Maximum_duration_of_Visit_std_clinical_simple,49.86666666666667,12.570555011216005,68.0,30.0,98.0
Average_duration_of_Visit_std_non_medical,50.0,9.194684808727144,31.0,68.0,99.0
Average_duration_of_Visit_std_content,49.93333333333333,11.66931646093365,64.5,36.0,100.5
Maximum_duration_of_Visit_mean_clinical_simple,49.8,11.90291347613565,70.5,35.0,105.5
Minimum_duration_of_Visit_max_non_medical,50.0,8.815617689364727,31.0,75.0,106.0
Average_whole-fixation_eye_openness_std_clinical_simple,49.6,12.41110563242351,75.5,32.0,107.5
Average_duration_of_Visit_std_medical_simple,49.8,11.669092686585566,70.5,37.0,107.5
Selective_regression-path_duration_mean_medical_simple,49.666666666666664,12.184477636695949,74.0,34.0,108.0
Duration_of_first_Visit_std_non_medical,50.0,8.527232935863198,31.0,80.0,111.0
Minimum_duration_of_Visit_std_content,49.733333333333334,11.444821897982122,73.0,40.0,113.0
Selective_regression-path_duration_max_clinical_simple,49.2,11.573407374575238,80.0,38.0,118.0
Minimum_duration_of_Visit_std_non_medical,50.0,8.036194988294993,31.0,88.0,119.0
Average_duration_of_Visit_mean_non_medical,50.0,8.013940865395112,31.0,90.0,121.0
Duration_of_first_Visit_max_clinical_simple,49.0,11.4484820278471,82.5,39.0,121.5
Maximum_duration_of_Visit_max_medical,49.1,11.275424770307984,81.0,43.0,124.0
Average_whole-fixation_eye_openness_mean_clinical_simple,48.6,11.412816881299907,84.0,41.0,125.0
Maximum_duration_of_Visit_mean_non_medical,50.0,7.930604130755976,31.0,94.0,125.0
Selective_regression-path_duration_std_clinical_original,48.46666666666667,11.303065345446642,85.0,42.0,127.0
Minimum_duration_of_Visit_mean_non_medical,50.0,7.651115080556605,31.0,98.0,129.0
Duration_of_first_Visit_mean_non_medical,50.0,7.633918680272048,31.0,99.0,130.0
Minimum_duration_of_Visit_std_medical,47.5,10.509108817286805,86.5,49.0,135.5
Average_whole-fixation_eye_openness_max_medical_simple,46.8,11.015735333589094,91.0,46.0,137.0
Minimum_duration_of_Visit_std_medical_simple,46.8,10.631305860531704,91.0,47.0,138.0
Average_duration_of_Visit_std_medical,47.2,10.409358374892632,88.0,52.0,140.0
Average_duration_of_Visit_mean_medical_simple,46.733333333333334,10.561045524093602,93.0,48.0,141.0
Duration_of_first_Visit_std_medical_simple,46.333333333333336,10.478514011110338,95.5,50.0,145.5
Maximum_duration_of_Visit_max_medical_simple,46.333333333333336,10.472404505363976,95.5,51.0,146.5
Total_duration_of_Visit_std_non_medical,50.0,6.360741902913344,31.0,117.0,148.0
Maximum_duration_of_Visit_std_content,46.4,9.743062381381984,94.0,59.0,153.0
Maximum_duration_of_Visit_mean_medical_simple,45.666666666666664,10.298785644803454,99.0,55.0,154.0
Selective_regression-path_duration_max_clinical_original,45.6,10.335920026273914,100.0,54.0,154.0
Time_to_first_Visit_std_non_medical,50.0,6.059788725273223,31.0,126.0,157.0
Minimum_duration_of_Visit_mean_medical,47.0,9.02192840163858,89.0,72.0,161.0
Minimum_duration_of_Visit_mean_medical_simple,44.8,10.228667902163377,106.0,56.0,162.0
Time_to_first_Visit_mean_non_medical,50.0,5.768997699201183,31.0,133.0,164.0
Duration_of_first_Visit_mean_medical_simple,43.53333333333333,9.925645981166548,111.0,58.0,169.0
Maximum_duration_of_Visit_mean_content,49.45454545454545,7.972462056064029,77.0,92.0,169.0
Minimum_duration_of_Visit_mean_content,44.857142857142854,8.953173093143086,105.0,73.0,178.0
Selective_regression-path_duration_mean_clinical_original,42.13333333333333,9.553686153765456,117.0,62.0,179.0
Total_duration_of_Visit_mean_non_medical,50.0,5.23579371507895,31.0,148.0,179.0
Duration_of_first_Visit_max_medical,42.85,9.2534020888578,113.0,67.0,180.0
Time_to_first_Visit_max_non_medical,50.0,5.1490535351677735,31.0,151.0,182.0
Selective_regression-path_duration_mean_medical_original,41.666666666666664,9.422943353998134,119.0,64.0,183.0
Total_duration_of_Visit_max_non_medical,50.0,5.136207037643609,31.0,152.0,183.0
First-pass_duration_std_clinical_simple,41.142857142857146,9.092276721640353,122.0,70.0,192.0
Maximum_duration_of_whole_fixations_std_medical,50.0,4.910980472656527,31.0,162.0,193.0
Duration_of_first_Visit_std_content,41.857142857142854,8.74665081805711,118.0,76.0,194.0
Average_duration_of_Visit_mean_content,41.42857142857143,8.820101607286352,121.0,74.0,195.0
Average_duration_of_Visit_mean_medical,42.166666666666664,8.518815483335736,116.0,81.0,197.0
Average_whole-fixation_eye_openness_std_medical_simple,38.8,9.25671365560345,141.0,66.0,207.0
Average_duration_of_whole_fixations_max_non_medical,50.0,4.414861198000754,31.0,178.0,209.0
First-pass_duration_max_medical,42.4,7.709697091226164,114.0,97.0,211.0
Maximum_duration_of_Visit_max_clinical_simple,38.6,9.133770450230957,145.0,69.0,214.0
Time_to_first_Visit_std_content,47.5,5.966790178237877,86.5,128.0,214.5
Duration_of_first_whole_fixation_std_medical,46.0,6.210250892737911,97.5,120.0,217.5
Average_duration_of_Visit_max_medical_simple,38.333333333333336,9.033018323570788,147.0,71.0,218.0
Average_whole-fixation_eye_openness_mean_content,38.733333333333334,8.620460802276217,143.0,78.0,221.0
First-pass_duration_max_content,39.285714285714285,8.113123964863679,137.0,87.0,224.0
Duration_of_first_Visit_mean_content,39.142857142857146,7.992759406297856,140.0,91.0,231.0
Average_whole-fixation_eye_openness_std_content,38.06666666666667,8.463588882068164,149.0,83.0,232.0
Maximum_duration_of_Visit_std_medical,38.1578947368421,8.171705275045246,148.0,85.0,233.0
Duration_of_first_Visit_std_medical,39.6,7.485189075621529,134.0,100.0,234.0
Time_to_first_Visit_mean_content,45.3,5.668671987057868,102.5,135.0,237.5
Average_duration_of_fixations_max_non_medical,50.0,3.825037270678872,31.0,207.0,238.0
Minimum_duration_of_Visit_max_medical_simple,35.357142857142854,8.683510516433579,163.0,77.0,240.0
Time_to_first_Visit_max_content,45.2,5.664382720830185,104.0,137.0,241.0
First-pass_duration_std_medical,45.5,5.513330305571449,101.0,140.0,241.0
Maximum_duration_of_whole_fixations_std_non_medical,50.0,3.8207203425449405,31.0,210.0,241.0
Duration_of_first_fixation_std_medical,49.333333333333336,4.894041655009152,79.0,163.0,242.0
First-pass_duration_std_content,45.3,5.450729537201121,102.5,141.0,243.5
Maximum_duration_of_fixations_std_medical,49.0,4.777401580171424,82.5,164.0,246.5
Duration_of_first_Visit_mean_medical,38.4,7.370730669820202,146.0,101.0,247.0
Maximum_duration_of_fixations_std_non_medical,50.0,3.6971101900377583,31.0,221.0,252.0
Time_to_first_Visit_max_medical,41.63636363636363,5.713735873908738,120.0,134.0,254.0
Maximum_duration_of_fixations_max_non_medical,50.0,3.654832204761776,31.0,224.0,255.0
Maximum_duration_of_Visit_mean_medical,37.666666666666664,7.265152543537544,151.0,104.0,255.0
Time_to_entry_saccade_min_non_medical,49.8,4.20888069010192,70.5,185.0,255.5
Maximum_duration_of_whole_fixations_max_non_medical,50.0,3.645595825368629,31.0,225.0,256.0
Peak_velocity_of_entry_saccade_min_non_medical,50.0,3.6341535222788663,31.0,226.0,257.0
First-pass_first_fixation_duration_max_non_medical,50.0,3.622040133250253,31.0,227.0,258.0
Total_duration_of_Visit_mean_content,44.2,5.131820909155078,108.0,153.0,261.0
First-pass_first_fixation_duration_std_medical,37.333333333333336,6.819277258638675,153.0,109.0,262.0
First-pass_duration_std_non_medical,50.0,3.4743921118530126,31.0,237.0,268.0
Time_to_first_Visit_mean_medical_simple,36.5,6.575808419777817,157.0,111.0,268.0
Time_to_first_Visit_mean_medical,40.72727272727273,5.370772013028256,125.5,144.0,269.5
Total_duration_of_Visit_std_medical_simple,31.066666666666666,8.596642905145936,191.0,79.0,270.0
First-pass_duration_max_non_medical,50.0,3.4278321946287504,31.0,240.0,271.0
First-pass_duration_mean_medical,40.72727272727273,5.23563803549211,125.5,149.0,274.5
Time_to_first_Visit_std_medical,40.27272727272727,5.270996521444484,129.0,146.0,275.0
Average_whole-fixation_eye_openness_max_content,35.214285714285715,6.564138994101646,164.0,112.0,276.0
Average_whole-fixation_eye_openness_std_medical_original,30.266666666666666,8.47412781936869,199.0,82.0,281.0
Duration_of_first_Visit_max_medical_simple,29.428571428571427,8.123452643805592,203.0,86.0,289.0
Average_whole-fixation_eye_openness_mean_medical_simple,29.133333333333333,8.332906451567133,205.0,84.0,289.0
First-pass_first_fixation_duration_max_content,42.888888888888886,4.385186237920673,112.0,179.0,291.0
Total_duration_of_Visit_std_content,40.0,4.942176306451679,133.0,159.0,292.0
Time_to_first_Visit_mean_clinical_simple,30.23076923076923,7.942728171591127,201.0,93.0,294.0
Time_to_exit_saccade_min_non_medical,49.6,3.702175787690648,75.5,220.0,295.5
First-pass_duration_mean_clinical_simple,28.714285714285715,8.03081241006202,209.0,89.0,298.0
First-pass_first_fixation_duration_mean_medical,30.833333333333332,6.849869936258915,194.0,108.0,302.0
Average_whole-fixation_eye_openness_std_medical,28.5,7.173216591689138,210.0,105.0,315.0
Total_duration_of_Visit_max_content,32.714285714285715,5.558024598722494,177.0,139.0,316.0
Minimum_duration_of_Visit_max_medical_original,26.066666666666666,7.925807621634575,223.0,95.0,318.0
First-pass_regression_mean_medical,37.36363636363637,4.766994382936896,152.0,166.0,318.0
Minimum_duration_of_whole_fixations_max_non_medical,49.8,3.2722729928556236,70.5,250.0,320.5
First-pass_regression_mean_non_medical,49.4,3.3304913277784323,78.0,247.0,325.0
Number_of_Visits_max_content,32.0,5.374788988514166,183.5,143.0,326.5
Total_duration_of_Visit_std_clinical_simple,26.22222222222222,6.6878694242471575,221.0,110.0,331.0
Maximum_duration_of_whole_fixations_std_content,38.666666666666664,4.100436159647776,144.0,192.0,336.0
Average_whole-fixation_eye_openness_mean_medical_original,22.266666666666666,7.76247933594284,241.0,96.0,337.0
Time_to_first_Visit_std_medical_simple,24.11111111111111,6.551076720050975,235.0,113.0,348.0
Time_to_first_Visit_std_clinical_simple,21.153846153846153,7.333803092928194,248.0,102.0,350.0
Average_whole-fixation_eye_openness_mean_medical,25.0,6.183231831784687,228.0,122.0,350.0
Duration_of_first_fixation_mean_medical,36.0,4.0919417790808765,160.0,193.0,353.0
Average_duration_of_Visit_max_medical_original,20.214285714285715,7.282913341543295,251.0,103.0,354.0
Duration_of_first_whole_fixation_mean_medical,34.7,4.188183054239524,168.0,187.0,355.0
Maximum_duration_of_fixations_std_content,35.666666666666664,3.999701096407891,161.0,197.0,358.0
First-pass_first_fixation_duration_mean_clinical_simple,18.615384615384617,6.96071849090552,258.0,106.0,364.0
Total_duration_of_Visit_mean_medical_simple,19.555555555555557,6.439524014275107,253.5,114.0,367.5
First-pass_regression_std_medical,34.44444444444444,3.983730266175472,169.0,199.0,368.0
Total_duration_of_Visit_max_medical_simple,19.555555555555557,6.387290750190831,253.5,115.0,368.5
Average_duration_of_Visit_max_clinical_original,27.0,5.048188601089389,217.0,154.0,371.0
First-pass_first_fixation_duration_std_content,42.333333333333336,3.078600687179527,115.0,257.0,372.0
Minimum_duration_of_fixations_max_non_medical,46.8,2.768508059142702,91.0,283.0,374.0
Maximum_duration_of_whole_fixations_mean_medical,40.166666666666664,3.414328920465649,132.0,242.0,374.0
First-pass_first_fixation_duration_max_medical,34.333333333333336,3.9113862472733785,170.0,204.0,374.0
First-pass_duration_mean_content,34.22222222222222,3.823944680568006,172.0,209.0,381.0
Minimum_duration_of_Visit_std_clinical_original,17.11111111111111,6.369881671684118,265.0,116.0,381.0
Total_duration_of_Visit_std_medical,31.6,4.018687608429585,187.5,196.0,383.5
First-pass_duration_max_clinical_simple,18.8,5.983311479917727,256.5,127.0,383.5
Total_duration_of_Visit_mean_medical,32.55555555555556,3.827812981302474,178.0,206.0,384.0
Maximum_duration_of_Visit_min_clinical_simple,18.8,5.940965553178388,256.5,130.0,386.5
Average_whole-fixation_eye_openness_max_medical_original,15.6,6.924193646660504,280.5,107.0,387.5
Average_whole-fixation_eye_openness_max_medical,24.444444444444443,5.04582211183519,233.0,155.0,388.0
Total_duration_of_Visit_max_medical,29.818181818181817,4.151423899167862,202.0,190.0,392.0
Minimum_duration_of_Visit_max_clinical_original,24.0,5.002245187010479,236.0,157.0,393.0
Maximum_duration_of_fixations_mean_medical,38.0,3.2966126632012696,150.0,248.0,398.0
First-pass_regression_std_content,39.5,2.9662368941858235,135.5,264.0,399.5
Average_duration_of_whole_fixations_mean_medical,31.77777777777778,3.7726975798427604,186.0,214.0,400.0
Average_duration_of_Visit_min_clinical_simple,16.4,5.917842252367868,270.0,132.0,402.0
Average_duration_of_Visit_std_clinical_original,15.666666666666666,6.160427138395869,279.0,123.0,402.0
Duration_of_first_whole_fixation_mean_content,39.5,2.886835757972074,135.5,269.0,404.5
Total_duration_of_Visit_mean_clinical_simple,15.4,5.959863599001735,283.5,129.0,412.5
Duration_of_first_whole_fixation_max_medical,31.11111111111111,3.693322636120171,190.0,223.0,413.0
Number_of_Visits_mean_content,32.22222222222222,3.508951289602793,180.0,234.0,414.0
Maximum_duration_of_whole_fixations_mean_non_medical,50.0,2.0267814582744355,31.0,385.0,416.0
Maximum_duration_of_fixations_max_medical_simple,11.846153846153847,6.30309901936008,301.0,119.0,420.0
Total_duration_of_Visit_max_clinical_simple,12.555555555555555,6.138465726628268,295.0,125.0,420.0
Maximum_duration_of_whole_fixations_max_medical,35.5,3.013178469594722,162.0,259.5,421.5
Minimum_duration_of_Visit_mean_clinical_original,11.777777777777779,6.188666538939256,302.0,121.0,423.0
Maximum_duration_of_fixations_max_medical,34.833333333333336,3.013178469594722,166.5,259.5,426.0
Average_duration_of_whole_fixations_std_medical,35.0,3.0100270159617257,165.0,261.0,426.0
Maximum_duration_of_fixations_mean_non_medical,50.0,1.963591708571565,31.0,397.0,428.0
Average_duration_of_fixations_mean_content,40.4,2.6317620700446387,127.5,302.0,429.5
Number_of_Visits_max_medical_simple,10.071428571428571,6.352077758710527,313.0,118.0,431.0
Maximum_duration_of_fixations_mean_content,40.4,2.60890846455846,127.5,305.0,432.5
Duration_of_first_fixation_mean_content,36.833333333333336,2.8176613828222368,155.0,278.0,433.0
First-pass_first_fixation_duration_mean_content,30.77777777777778,3.4395413538939743,195.0,239.0,434.0
First-pass_regression_mean_content,30.88888888888889,3.419278641996186,193.0,241.0,434.0
Average_duration_of_fixations_mean_medical,29.22222222222222,3.5703970832632472,204.0,231.0,435.0
Maximum_duration_of_Visit_max_clinical_original,12.0,5.665789867672407,299.5,136.0,435.5
Maximum_duration_of_Visit_std_clinical_original,16.0,4.9296807856872,275.0,161.0,436.0
Duration_of_first_fixation_max_medical,29.0,3.5344179226745736,207.0,233.0,440.0
Maximum_duration_of_Visit_max_medical_original,10.333333333333334,5.9372639838440895,309.0,131.0,440.0
Average_whole-fixation_pupil_diameter_max_medical_original,16.0,4.762013951759752,275.0,167.0,442.0
Maximum_duration_of_fixations_std_clinical_simple,16.0,4.731945788520599,275.0,168.0,443.0
Average_duration_of_whole_fixations_mean_content,36.166666666666664,2.753530725142086,159.0,286.0,445.0
Minimum_duration_of_fixations_min_content,30.444444444444443,3.2740500272760777,198.0,249.0,447.0
Maximum_duration_of_whole_fixations_max_medical_simple,9.0,6.158713556129803,323.5,124.0,447.5
Peak_velocity_of_entry_saccade_min_medical,33.666666666666664,2.8529184064089974,176.0,273.0,449.0
Average_whole-fixation_pupil_diameter_max_medical,34.166666666666664,2.7675714130813294,173.5,284.0,457.5
Time_to_first_Visit_min_medical,27.666666666666668,3.3915407273816287,213.0,245.5,458.5
Time_to_first_fixation_min_medical,27.333333333333332,3.3915407273816287,214.0,245.5,459.5
Maximum_duration_of_whole_fixations_mean_content,34.833333333333336,2.7093952650332382,166.5,295.0,461.5
Average_duration_of_Visit_mean_clinical_original,9.8,5.263093148228534,317.0,147.0,464.0
First-pass_first_fixation_duration_std_non_medical,41.0,2.295836824315386,123.5,341.0,464.5
Minimum_duration_of_whole_fixations_std_medical,38.75,2.399950476970445,142.0,325.0,467.0
Average_pupil_diameter_max_medical,32.166666666666664,2.6920646653008493,181.5,297.0,478.5
First-pass_first_fixation_duration_max_medical_original,6.777777777777778,5.586039416881789,341.0,138.0,479.0
Average_duration_of_Visit_std_medical_original,8.0,5.17716903453429,332.5,150.0,482.5
Minimum_duration_of_Visit_std_medical_original,9.0,4.941975327144542,323.5,160.0,483.5
Duration_of_first_whole_fixation_std_content,34.166666666666664,2.5615172071702705,173.5,310.0,483.5
Average_duration_of_fixations_std_medical,32.166666666666664,2.6073327071404537,181.5,306.0,487.5
Time_to_entry_saccade_min_content,26.11111111111111,2.91298126233574,222.0,268.0,490.0
Time_to_exit_saccade_min_content,33.833333333333336,2.475747752101585,175.0,317.0,492.0
First-pass_regression_std_non_medical,39.2,2.1852547218363467,138.5,354.0,492.5
Number_of_Visits_mean_medical_simple,5.4,5.34544922660927,352.5,145.0,497.5
First-pass_regression_mean_clinical_simple,4.769230769230769,5.421431573537044,358.0,142.0,500.0
Average_pupil_diameter_min_medical,31.5,2.5427207592482937,189.0,312.0,501.0
Time_to_first_Visit_max_medical_simple,6.0,5.017120596755712,348.5,156.0,504.5
tag.id_max_non_medical,46.0,1.8153866886310968,97.5,412.0,509.5
First-pass_first_fixation_duration_std_clinical_simple,5.4,4.9808231841243416,352.5,158.0,510.5
Duration_of_first_fixation_std_content,36.6,2.1738686389508355,156.0,355.0,511.0
First-pass_regression_mean_medical_original,8.0,4.295673556868668,332.5,182.0,514.5
Number_of_Visits_max_medical,22.0,2.850811228762386,243.0,275.0,518.0
First-pass_duration_mean_non_medical,39.2,2.062221660668097,138.5,380.0,518.5
Maximum_duration_of_whole_fixations_std_clinical_simple,5.25,4.770116430309171,354.5,165.0,519.5
Maximum_duration_of_fixations_max_content,24.666666666666668,2.7219093472057976,230.5,290.0,520.5
First-pass_duration_max_medical_original,6.0,4.591568946194033,348.5,173.0,521.5
Total_duration_of_whole_fixations_max_content,24.666666666666668,2.717293575104853,230.5,293.0,523.5
Duration_of_first_whole_fixation_mean_non_medical,44.0,1.7808081763341854,109.0,417.0,526.0
Maximum_duration_of_whole_fixations_max_content,24.22222222222222,2.711076675324152,234.0,294.0,528.0
Peak_velocity_of_exit_saccade_min_clinical_simple,4.0,4.6979224337054974,361.5,170.0,531.5
First-pass_duration_std_medical_simple,5.0,4.493526862866774,356.5,176.0,532.5
Total_duration_of_fixations_max_content,23.77777777777778,2.679842687180582,238.0,298.0,536.0
Duration_of_first_Visit_min_medical,31.0,2.2535583049060746,192.0,346.0,538.0
Maximum_duration_of_fixations_std_medical_simple,4.0,4.472924772621789,361.5,177.0,538.5
Maximum_duration_of_Visit_std_medical_original,3.0,4.647925710102582,370.0,172.0,542.0
Average_whole-fixation_pupil_diameter_min_medical,26.5,2.4057123117809285,219.5,324.0,543.5
Duration_of_first_Visit_mean_clinical_original,3.0,4.549247135799025,370.0,174.0,544.0
Time_to_first_Visit_min_non_medical,44.5,1.7716686674669861,107.0,438.0,545.0
Minimum_duration_of_whole_fixations_min_non_medical,37.0,1.977308809026853,154.0,394.0,548.0
Time_to_first_fixation_min_non_medical,43.75,1.7716686674669861,110.0,438.0,548.0
Number_of_Visits_std_medical_simple,2.6,4.685391508009528,378.0,171.0,549.0
Duration_of_first_Visit_max_medical_original,3.0,4.368087159795521,370.0,181.0,551.0
Time_to_first_Visit_max_medical_original,2.0,4.721230606852828,385.0,169.0,554.0
Time_to_first_Visit_max_clinical_simple,3.0,4.159766630264204,370.0,189.0,559.0
First-pass_first_fixation_duration_mean_non_medical,36.4,1.9171207210131709,158.0,403.0,561.0
Maximum_duration_of_whole_fixations_std_medical_simple,2.0,4.384235425234539,385.0,180.0,565.0
Minimum_duration_of_fixations_max_medical,24.5,2.3299756003802186,232.0,337.0,569.0
Average_duration_of_fixations_max_content,31.6,2.0282872684029885,187.5,383.0,570.5
Duration_of_first_fixation_mean_non_medical,41.0,1.7448277871468516,123.5,448.0,571.5
Average_whole-fixation_pupil_diameter_mean_content,32.0,1.985456652669485,183.5,392.0,575.5
Average_duration_of_whole_fixations_mean_non_medical,40.25,1.7385931505448924,130.5,451.0,581.5
Average_pupil_diameter_max_content,30.6,2.014967080874951,196.5,386.0,582.5
Minimum_duration_of_fixations_std_medical,25.25,2.1597709076463683,226.5,356.0,582.5
Average_whole-fixation_eye_openness_mean_clinical_original,1.1428571428571428,4.247379806580468,401.0,184.0,585.0
Duration_of_first_whole_fixation_mean_clinical_simple,2.0,3.961676476970136,385.0,200.0,585.0
Time_to_first_Visit_std_medical_original,2.0,3.9459637561728687,385.0,202.0,587.0
Average_pupil_diameter_mean_content,30.6,1.978925438080316,196.5,393.0,589.5
Average_whole-fixation_eye_openness_std_clinical_original,1.2307692307692308,4.116612745837597,399.0,191.0,590.0
Duration_of_first_Visit_std_clinical_original,1.0,4.518638499983677,420.5,175.0,595.5
Average_duration_of_Visit_mean_medical_original,1.0,4.265936821801326,420.5,183.0,603.5
Maximum_duration_of_Visit_mean_medical_original,1.0,4.201189026512304,420.5,186.0,606.5
Total_duration_of_whole_fixations_std_non_medical,40.25,1.6313513072686603,130.5,479.0,609.5
Number_of_Visits_mean_medical,15.777777777777779,2.356675962872348,278.0,333.0,611.0
Duration_of_first_Visit_min_clinical_simple,1.0,4.076705126176542,420.5,194.0,614.5
Maximum_duration_of_Visit_mean_clinical_original,1.0,4.0410686086107495,420.5,195.0,615.5
Average_duration_of_Visit_min_medical,21.5,2.091403196151084,245.0,373.0,618.0
Minimum_duration_of_Visit_mean_medical_original,1.0,3.984109446008061,420.5,198.0,618.5
Duration_of_first_Visit_mean_medical_original,1.0,3.917770812946839,420.5,203.0,623.5
Minimum_duration_of_whole_fixations_mean_medical,17.0,2.1459976797852285,266.0,358.0,624.0
Time_to_first_Visit_min_content,30.25,1.7716686674669864,200.0,427.5,627.5
Average_duration_of_fixations_mean_clinical_simple,1.0,3.824571988107482,420.5,208.0,628.5
Time_to_exit_saccade_min_medical_original,1.4,3.476849859080393,394.0,236.0,630.0
Average_duration_of_whole_fixations_mean_clinical_simple,1.0,3.800918388709033,420.5,212.0,632.5
Duration_of_first_fixation_mean_clinical_simple,1.0,3.766192154743952,420.5,215.0,635.5
Average_duration_of_fixations_mean_non_medical,34.25,1.6689965312878594,171.0,466.0,637.0
Peak_velocity_of_entry_saccade_min_clinical_simple,1.0,3.715583752346447,420.5,217.0,637.5
Time_to_first_fixation_min_content,27.25,1.7716686674669864,215.5,427.5,643.0
Average_pupil_diameter_min_content,22.5,1.8900452368001297,240.0,407.0,647.0
Total_duration_of_fixations_max_clinical_simple,1.0,3.600404609553744,420.5,229.0,649.5
Total_duration_of_fixations_max_medical,16.166666666666668,2.0682446751983026,272.0,379.0,651.0
Average_whole-fixation_pupil_diameter_mean_non_medical,32.5,1.6411699208692974,179.0,474.0,653.0
Minimum_duration_of_fixations_mean_clinical_simple,1.0,3.4436593958681083,420.5,238.0,658.5
Minimum_duration_of_fixations_mean_medical,18.25,1.9391639858277823,261.0,398.0,659.0
Number_of_Visits_std_content,21.166666666666668,1.8034852960620384,247.0,413.0,660.0
Total_duration_of_fixations_std_non_medical,31.8,1.6390702349170052,185.0,476.0,661.0
Minimum_duration_of_whole_fixations_mean_clinical_simple,1.0,3.4091759154372085,420.5,243.0,663.5
Average_pupil_diameter_mean_medical,16.5,1.973899947158771,268.5,395.0,663.5
Time_to_first_fixation_max_content,27.25,1.7388160352144175,215.5,450.0,665.5
Average_whole-fixation_eye_openness_max_clinical_original,1.2,2.9459013513243453,400.0,266.0,666.0
Average_whole-fixation_pupil_diameter_mean_medical,15.4,1.993364964615313,283.5,390.0,673.5
Average_pupil_diameter_mean_non_medical,28.4,1.6744538753549416,211.0,464.0,675.0
Average_duration_of_whole_fixations_std_content,25.75,1.731838957819088,225.0,452.0,677.0
Minimum_duration_of_fixations_max_content,25.25,1.7155851209743076,226.5,455.0,681.5
Time_to_first_fixation_std_non_medical,28.2,1.6216080203561485,212.0,482.0,694.0
Total_duration_of_whole_fixations_max_medical,11.666666666666666,1.9927564593832892,303.0,391.0,694.0
Minimum_duration_of_whole_fixations_max_medical,14.25,1.8488065968249363,287.0,410.0,697.0
