	PC_1	PC_2	PC_3	PC_4	PC_5	PC_6	PC_7	PC_8	PC_9	PC_10	PC_11	PC_12	PC_13	PC_14	PC_15	PC_16	PC_17	PC_18	PC_19	PC_20	PC_21	PC_22	PC_23	PC_24	PC_25	PC_26	PC_27	PC_28	PC_29	PC_30	PC_31	PC_32	PC_33	PC_34	PC_35	PC_36	PC_37	PC_38	PC_39	PC_40	PC_41	PC_42	PC_43	PC_44	PC_45	PC_46	PC_47	PC_48	PC_49	PC_50
Total_duration_of_fixations_max_medical_original	-0.043927910659913756	0.0023346098108465553	0.023815646234544588	-0.002313175448351297	0.04944732574624345	0.034686178758436784	0.0041303603203719	0.0006157764351491848	-0.010614824958868329	0.07267400845205402	0.07591074386419987	-0.07160617053687474	0.01701176809493065	-0.016045554334742706	-0.07516712707472845	0.05910331149708898	-0.038904731937532945	-0.0362407463630131	0.0021859546927313653	-0.09612313070399608	-0.02884983168459909	-0.01813162868772324	0.004767618516468359	-0.019073242843628532	0.06374819245022784	-0.020193953584388698	0.04675189565646796	0.012989506757777481	-0.024323024323833653	-0.04107057359699096	0.034752178720004835	0.006799835123806958	0.02658307124849126	0.021219089060306368	0.10995549775015566	-0.008919306361798787	0.09756454422072412	0.022291187367084624	-0.04212079677255491	-0.03944819079389836	-0.012770920327611682	0.006063619409687345	-0.03511401546019512	-0.05722537516556243	0.004843174512046781	0.06924967973320403	-0.0062699457110352505	-0.04405040690544072	-0.03297953706072431	-0.08141622205260951
Total_duration_of_fixations_max_medical_simple	-0.03430202652849035	0.04285404363537725	-0.034485398997588346	0.025228388448210983	-0.033957035708673866	0.045187158969905064	0.04391389483235743	0.006576028195185682	-0.0003523780565171465	0.02225354467494776	0.01563547624821903	-0.028424872207475086	0.0028331730509678975	-0.017307339697257916	-0.03969224810333464	0.05758426997204059	-0.054901910248806106	-0.09891307463466308	-0.0263311047446997	-0.0293182780081383	0.04597356616504576	0.061311693764961456	0.012272096908483271	-0.056946908075657054	-0.05599525002395666	-0.041957265323395755	0.0729253936062316	-0.012768216080727156	-0.0300461284018811	-0.041625420331189725	-0.025210963900283465	-0.06246321714944625	0.0268325532554113	-0.04886893067634563	-0.05424055998775497	-0.07104198100717914	-0.048770288492794474	-0.05414499734129922	0.05569661937636167	0.02929938143124667	-0.07052759062995471	0.008088784278051974	0.016082131011442912	-0.0478117218953217	0.005790666202742845	-0.033814017793956846	0.06545341761516492	0.010183405570551796	-0.07718109221870542	0.044954742583406176
Average_duration_of_fixations_mean_clinical_original	-0.06086954838755251	-0.03109123936649283	-0.013491391062528297	-0.01162457030288125	-0.021910616331207965	-0.016070854586602082	0.030210924644344883	0.015343283166052483	0.003583944240350233	-0.059854870634794596	0.0066564630475109635	0.003759564238848671	-0.0083871267579286	0.03714946653565768	0.025102450032967516	0.008287146734307301	-0.027826142184371048	-0.02530824099344361	0.004718707329054233	0.00838349984165306	-0.017753963330264157	0.024992900762338472	-0.009436377004829735	0.002503382422000496	-0.026036756560932402	0.003940280914956829	0.0031541462058411727	-0.011867453213347985	0.01329649306546856	-0.0322072215335445	0.002013707832482099	0.005719793311112235	6.216929201584664e-05	0.01319862496904019	0.02005118706405516	0.004474065255247541	0.011083752179208498	-0.021181065779518907	-0.03675188308581418	0.02091916547882174	0.011061215948777983	0.017349384829570623	0.0070512793457946565	-0.015633639768063857	-0.0025978706696273084	-0.009106705347669233	0.014921649276193955	-0.0020987665972477063	-0.01564373200324979	-0.1582853989993193
Average_duration_of_fixations_mean_clinical_simple	-0.019403016360005867	0.05656167752648632	0.042183134464393084	-0.06482474310419549	-0.02024828848802345	-0.022748123526404457	0.03378327531105427	0.005134820518708683	0.049446282638493204	-0.02638155000507018	-0.01575558069272721	0.024960789483327216	0.00167651433684888	0.030815707357768826	0.03274038581781243	0.02066590061645556	-0.041177523597671864	-0.021080907125609998	-0.007777533349293334	-0.011714622407608398	-0.006245498007694403	0.028995188759722467	0.002738031730725563	-0.0016651672581044134	-0.011028663911336077	-0.005038157386878482	-0.018799305088096848	-0.013571416583419002	-0.02522694871189616	0.0061308234004255925	-0.03823611212101703	-0.017796792683744508	-0.015111429435032488	0.004567351508504462	0.020876232891222774	0.005097219554383842	0.025701849005789604	0.006084073646748516	-0.011064038576854566	-0.019976887416276474	0.02315770717677854	0.03457686088806404	0.008338319514481466	0.02345114794943843	0.012645258941504894	-0.0007859181729444126	0.04544095427405151	-0.007557352444827107	-0.012843795959720747	-0.0270488270398039
Average_duration_of_fixations_mean_medical_original	-0.04504658641207611	-0.03823592658527911	0.032931222186506445	0.008573881048891618	-0.04813484510782698	0.02257763377519228	0.049582902993212	-0.0008077441653528891	0.06239169531260867	0.019523786631347014	-0.03701919025155793	0.013961329515222647	0.00643251477022306	0.028155341014814962	0.027860213203126413	0.028364592555790533	-0.04266241000743923	-0.01334707279098618	0.0008779818745779327	0.023343332113169246	-0.020475117187452454	0.02709783581444307	0.011176022897020558	0.016715124874701597	-0.0187478075618701	-0.006093670121827236	-0.003333108367805646	-0.006559072713710062	-0.006629220061069053	-0.025366925111754552	-0.01443730529332338	-0.0027390522283541434	-0.022142785475653577	0.013299831783171524	0.0200901719930053	0.025769060207924344	0.003836483148462927	-0.0015164895758973825	-0.019475160457707936	-0.0070115685766327825	0.0008619655955418593	0.03267525149259586	-0.00448015853528495	0.0018743805146636257	0.01043222521371517	-0.01237381516812579	0.012100258463022859	0.009428622518238632	-0.03556428570540512	0.04116308260870888
Average_duration_of_fixations_mean_medical_simple	-0.047662846160239455	0.023450915419804225	-0.0465076074765452	-0.003936415344775248	0.006124191888942174	-0.045094493626690296	0.019765391636996435	-0.008021418188597442	0.08906321199495355	0.0036661820464524977	-0.03019212142256097	0.028870967950499905	6.320799080296153e-05	0.02100334376072449	0.025483863968727573	0.013741383042480161	-0.04259850899322155	-0.019557546201435166	-0.0012001963331537446	0.00859451514669173	-0.0008659261434444144	0.02464801030128187	-0.005233734916912307	0.03567052774421861	-0.030068059439828727	0.014172974230693408	-0.016487785391994293	-0.010826675264364686	0.003356807255379671	-0.02785566112300278	-0.008246661024298217	0.0020339339050667684	-0.026895638659205	0.02594277839628312	-0.0030674435552958015	0.022975824668824227	0.007982616183106262	-0.016269771663251303	-0.026720133776618485	-0.011926795853233677	0.0016334016939602526	0.014544341420549934	0.019632218049487997	0.031201569766235383	0.03977547696016599	-0.02019308183586538	-0.010306675358245723	0.018699553243407895	-0.007974570405183451	0.08161790624153804
Average_duration_of_fixations_std_clinical_original	-0.05332207078907932	-0.022470141174816705	-0.015077445729826206	-0.004120887884196553	-0.040854045126439344	-0.008757147402701558	0.0248627322838094	-0.010532090938561889	0.03497920236399272	-0.06675365234954754	0.08157895662269897	0.004384470450523128	-0.06515960451331564	-0.010604657321563902	-0.006306720270783446	0.021178633598563843	-0.022793361319875537	-0.02187207457374156	-0.045712392538161284	0.028977405326639234	-0.011927764422255563	-0.01707398626019954	-0.009627527184794156	0.029917571153155992	0.01573869419203259	0.04776494730182111	-0.03647959744384139	0.00023109274524771086	0.02914380325528342	-0.008881399293986984	0.020094029990457882	0.05644002506290761	0.034239478753155264	-0.016616259336569246	0.028774733404163987	0.032681365794453535	-0.003847898264026892	-0.02683925301059714	0.0175999212464171	0.02643812963030793	0.02343693441595725	-0.026422116365985623	-0.003474902312580216	-0.022558572668819794	-0.041398170652740235	0.025945205850329837	-0.028483265374036157	0.0010384509413293671	-0.030175063560654452	0.001409270071598159
Average_duration_of_fixations_std_clinical_simple	-0.0113695182729212	0.05083560705377641	0.03532323295290456	-0.04880920927217148	-0.048911490536978595	-0.011422678720319301	0.05296411598984112	0.0019505795510210068	0.05959702658386768	-0.04957295835709866	0.04865557023157416	-0.008684371661123153	0.023109776148472788	-0.016323012118974717	0.04324099466646608	0.009105144232394915	0.010973266714234039	0.0165655608799583	0.07062597268231907	-0.04759393268913393	-0.025149766083588543	0.02967510358161385	0.005791025452348407	-0.005328744619303628	0.054989013621769126	0.03945178442219341	-0.022338455612144297	0.028285783650177195	0.025374831640185655	-0.017967809488198493	-0.03070036148365574	-0.012351233747049419	0.04223349917117649	-0.002955108740595959	0.028235651447850885	-0.02769058460482611	0.004191817103871342	0.07508957783457536	-0.017746948812290258	0.06872700584339733	0.0027154927477461683	0.02270336270094894	0.03985518397059301	-0.06714329985277044	-0.07266546594743013	0.00743172202697235	-0.032058953841869284	-0.00702697351321654	-0.01647918949051375	-0.1475030992586738
Average_duration_of_fixations_std_medical_original	-0.03840619044258938	-0.023331435225636795	0.02849719344901219	0.028328665534451788	-0.06402695949278647	0.01320384601284212	0.06576500043338894	-0.021346233298057574	0.054178004948691336	0.000684502864027776	0.0543243923537719	-0.012380924500695998	0.017283077086306227	-0.03828116751482088	0.007635630517019038	0.017613037700436956	-0.04452782768340452	-0.012876167435741225	0.019038715598226816	0.05471762893054565	-0.022262708237374175	-0.014467699600081096	0.01620012549288	0.012280873049815818	-0.0008223579895044666	-0.03775378691621331	-0.010492352532906254	0.018119548866306227	-0.0027330956786253743	-0.034301700083838746	-0.014230008906381824	0.04327720098660201	0.005187221824254536	-0.004497318142432353	0.006400903298226842	0.0830102225630436	-0.017582413455112064	0.033636670800507446	0.040561930579467456	0.0037570522024266873	-0.04928129772755883	-0.003579744694182617	-0.014346918005370905	0.0014975069399329787	-0.029037953318904738	0.0235564338306779	-0.03875736645986883	0.025183620593508593	-0.08565724385899556	-0.003668170861052177
Average_duration_of_fixations_std_medical_simple	-0.044533268031759665	0.02218037994620926	-0.03071951662457999	0.017601643312369106	-0.0054166488789387564	-0.04695875626398893	0.024734866558350242	-0.015737752848744426	0.1086696607633527	0.005229557475261336	0.04322408265941616	0.02143358494681054	-0.030059634675157366	-0.022135429497414608	-0.014032714695827996	-0.005034058271606144	-0.013678040784164043	0.008201116507275164	0.06082362476314463	0.008615101091533291	0.0005137414560715318	-0.005843318936246498	0.04781915468150922	-0.005403979184855635	-0.016571015034057026	-0.025734385240652753	-0.022361497940843633	0.034099028604137105	0.07773762784342449	-0.010896515809756403	-0.007296977968860349	0.026875220477811913	-0.044904623240120435	0.02294253254644425	-0.03723856922394316	0.013813863494481852	0.011036925280400066	-0.03008161734277389	0.04527661754405398	-0.0012039552949752327	-0.04274655410625642	-0.04968984725685094	0.02457595175955489	-0.01138768217425426	0.020155135063628357	-0.0222739303729173	0.018896205776475168	-0.050158540304182014	0.0025500594748430836	-0.1103714446872494
Average_duration_of_fixations_min_clinical_original	-0.04057014126259577	-0.033055461004759756	-0.010124311833945878	0.0007404744377704736	0.002297605064024088	-0.02264820969937785	0.006827049246243015	0.003937552681917882	-0.04560431126074046	-0.024853421135766045	0.03333140099956629	-0.012937492386616043	-0.015354025960377026	0.10897780560895311	-0.07397149846418702	0.06397707384201345	0.023102667138847188	0.10148320065731027	-0.06687829840382166	-0.02164866310312557	0.07541295227349135	0.103933909623653	-0.060692273798956246	-0.010579569397586773	-0.08991718891922722	-0.01521953145929348	0.03772863414339951	0.1480804270652931	0.04395555467817887	-0.032503286905334626	-0.09183608214308045	0.011824363109756443	0.06499652918583654	-0.005392718182848432	0.03625798424389247	0.04995171480283696	0.10713938353660962	-0.042282415788423	0.08633142866384205	0.04403173588022856	0.006885090536485086	0.024381828151918035	-0.08069720624747165	0.03572111488449559	-0.054366967472340884	0.12887654485349664	0.053844331155215266	-0.045646263082988914	0.042043292674692326	0.03364697259590979
Average_duration_of_fixations_min_clinical_simple	-0.020322681359379573	0.011032339542201258	0.036099309300551774	-0.06741275017126891	-0.03418494613369338	0.013046571912207181	-0.021817231836801364	-0.013358298573874544	0.029941094925499186	0.003825045579154964	-0.05213481896403955	-0.025161522333896996	-0.03393661126544243	0.07924789733681169	-0.0609016385375356	-0.06379462883477398	0.02766464219480062	0.05466380695467066	-0.04625501974824698	0.052566703528405805	-0.06401474207131293	-0.13225858906922053	0.054086673341460924	-0.04525120862249959	0.03595018066081837	-0.05866721862373563	0.02086845018319213	-0.0196174639545666	-0.06063180163684295	-0.1306038394264613	0.005353705548285281	-0.010850952535133284	0.0653430008685782	0.1044512151494829	-0.006466024675630967	-0.06012911209755279	-0.010233779734365943	0.07921080947347192	0.12047519920660811	0.006965205142951994	-0.06354372517519069	0.03932173244754838	-0.000290914386184981	-0.06751071494325224	0.05409336696880006	0.0811446307623254	-0.047565168901873234	0.0020552506549923718	-0.042725614502976905	-0.05230699012557612
Average_duration_of_fixations_min_medical_original	-0.027224598303362598	-0.001270053145969062	0.013318720430108979	0.01841650288776807	-0.04448640231111339	0.045460094749673996	0.02387300511304616	-0.032086997767251504	-0.008540149513032095	-0.010697872303595335	0.016100576090760953	-0.03593790027317541	0.017314576118154637	-0.016871294920955484	-0.04389980038155642	-0.08643221333578052	0.09032505070769946	-0.14099559905174217	0.07271667260967467	-0.07394843589217394	-0.020589936347065057	-0.02784303563485687	0.08159125983320949	0.07344187425970874	0.22780522558376934	-0.05546372006787354	-0.03583856109617415	0.0824981853743911	0.1084402034484269	-0.02053787812517655	0.049108429859667846	-0.05352801243710742	0.007891172968763746	0.055609652746813856	-0.07252920831619275	-0.013539712601818046	0.08661169139056243	-0.0029338829250182604	-0.025075471781168764	0.009944239506454542	-0.020158030988732183	0.13689344529399855	0.01570235400331104	0.06389467275434559	0.01037744608869922	-0.05731228046035603	0.03365857708303303	0.09193320831049169	-0.024272353372291958	0.09866543615793295
Average_duration_of_fixations_min_medical_simple	-0.02868370868905159	0.008437152553185012	-0.014939826617296165	0.014572829745977027	0.02927155620067397	-0.029038219790193998	0.02143979105900925	-0.0171129746951467	-0.04054584950606594	-0.05919757060535549	-0.05257462817353412	0.034989407762350704	0.07876977737029867	-0.0771701629447396	-0.0767105840941507	-0.019254753810413795	-0.09574322435275423	0.10668554732830762	0.010861263991306302	-0.031544281398096674	-0.1456977363401544	0.11677870025245408	0.052360488892509834	0.06185703171934038	0.021128229386238012	0.0016661236846474826	-0.14664681882846786	0.027922810487201695	-0.04764664583777279	0.047112206291048384	0.1412824045747626	-0.005282860789514189	0.09344698995200207	0.004762280404886202	0.0508703188645424	-0.06910473585931665	0.06526521226848077	-0.0443272464730909	1.784456471424506e-05	-0.034817082159741664	-0.013102428029857439	0.06932751487860007	-0.0107267157912323	-0.018413493613142554	0.07292670715839328	-0.04480357985615781	-0.05291679547524429	-0.039394760939851815	-0.03471160967476425	-0.005008026670593087
Average_duration_of_fixations_max_clinical_original	-0.0466786672598914	-0.017141482893636744	-0.019025539372389613	-0.010941480951189068	-0.04333426310400981	0.011267244737857928	-0.006350413109273653	-0.019130963277050734	0.015208742050515459	-0.05585456076906565	0.07965651746374385	0.033843193239975	-0.09817302209672603	0.039557894281957565	-0.04701542244141407	0.008163099827279493	-0.008035570588286224	-0.020237531634559484	-0.07290728761838224	0.0027289039912712634	0.028295178097241656	-0.043842887687685766	0.027206111143489815	0.02367144011327474	0.10546160396391391	0.09494582635870344	-0.03918525429949158	-0.06365848349038129	0.052321788156691876	0.06635473216471259	-0.01915916962251439	-0.013322189225667688	-0.022402064709020446	-0.015459847548190499	-0.0333905820432961	0.04941741443659462	-0.01974487954023319	0.03553028756918417	-0.013751701389221386	-0.034537166540692756	-0.07422299211307118	-0.048562222455254815	0.03732923279274082	0.05514396265441029	-0.022866969027337473	0.04464765362999752	0.030010002353754447	-0.012441436721557092	0.004116355037827752	0.10272796640073101
Average_duration_of_fixations_max_clinical_simple	-0.009840468783009322	0.03600620051201434	0.0205279942174703	-0.04778936482294938	-0.0639179502565585	-0.008253612304431685	0.032741727300365286	0.012074061948724336	0.039714104680394324	-0.03540615570970558	0.047467085815430334	-0.01576266524762279	0.0721916357020682	-0.06513774149883601	0.03538585123159704	-0.014392393756808586	0.053135764950930704	0.11548567572174229	0.06843339199282596	-0.08496682873740012	-0.048459096183544305	0.08593156365009505	-0.07717882531657055	0.014670591883215612	0.08385394359319212	0.013489954279993804	0.003756791300135047	0.014955151264688691	0.020756442749116016	-0.03182690801316108	-0.025076930932428156	0.0045652822941720204	-0.0025210118137850403	0.06042562130349808	-0.04047463764667543	-0.03551487540131902	-0.1127505681430649	-0.00045470878181410744	-0.05242215312740448	-0.021210977017944034	-0.07393864671535488	-0.008896212547710046	-0.024430775638176833	-0.0456300908996383	0.053898392905906596	-0.041450496051930054	0.0059138297508518544	-0.009758929704298706	0.055931679090098045	0.05932968707594041
Average_duration_of_fixations_max_medical_original	-0.03953027968950144	-0.0018375952695137495	0.033018708073173066	0.01624803074431193	-0.05252847572951585	-0.008863141651382817	0.04208020324101144	-0.028910896265626995	0.014734285708659796	0.004436193611863815	0.09462697612578029	-0.03193678389295861	-0.003613519096756423	-0.09339001376687409	0.04833289043673803	-0.02740871748646331	-0.049339479617764144	0.028068731996134834	-0.05409353029743367	-0.00855171417831178	0.03555166618820794	-0.08207726915557144	-0.06507942887841774	0.0684570023715094	-0.05471828084321565	-0.05819355476979583	0.03961965644025442	-0.0452754049946308	-0.03155823158676201	-0.05115410424450336	0.04127130088554563	-0.00164744432747915	-0.038444913022869835	0.02543703279234176	-0.0015039451732500346	0.0037677377708839103	-0.009582214072670986	0.04135703436970683	0.044185077045929506	0.027370985429087193	0.067372091571674	0.008913768009941968	0.022770536901699442	0.06560774646583314	0.0025656472719995443	-0.09078142353069812	0.07238668834336784	0.002538292673799336	0.022697717768397456	0.08068057552272535
